authors,title
"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",The Hiding Place: The Triumphant True Story of Corrie Ten Boom
Arthur Conan Doyle,The Adventures of Sherlock Holmes
Pat Conroy,The Prince of Tides
Michael Chabon,The Amazing Adventures of Kavalier & Clay
Simone Elkeles,"Perfect Chemistry (Perfect Chemistry, #1)"
"J.M. Barrie, Michael Hague",Peter Pan
Scott Westerfeld,"Pretties (Uglies, #2)"
"Haruki Murakami, Jay Rubin",The Wind-Up Bird Chronicle
Michael Connelly,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)"
David Mitchell,Cloud Atlas
Tim O'Brien,The Things They Carried
Banksy,Wall and Piece
Lauren Oliver,"Pandemonium (Delirium, #2)"
Jeff Lindsay,"Darkly Dreaming Dexter (Dexter, #1)"
Charlaine Harris,"Living Dead in Dallas (Sookie Stackhouse, #2)"
Robert Jordan,"The Dragon Reborn (Wheel of Time, #3)"
"Jonathan Swift, Robert DeMaria Jr.",Gulliver's Travels
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",Much Ado About Nothing
"Unknown, Seamus Heaney",Beowulf
"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Batman: Year One
Harper Lee,Go Set a Watchman
David Sedaris,When You Are Engulfed in Flames
Laini Taylor,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)"
Victoria Aveyard,"Red Queen (Red Queen, #1)"
Charles Duhigg,The Power of Habit: Why We Do What We Do in Life and Business
John Berendt,Midnight in the Garden of Good and Evil
Colleen Hoover,"Hopeless (Hopeless, #1)"
"Frances Hodgson Burnett, Nancy Bond",A Little Princess
Sarah Dessen,The Truth About Forever
C.S. Lewis,"The Horse and His Boy (Chronicles of Narnia, #5)"
Richelle Mead,"Last Sacrifice (Vampire Academy, #6)"
"Laura Ingalls Wilder, Garth Williams","Little House on the Prairie (Little House, #2)"
"Margery Williams Bianco, William   Nicholson",The Velveteen Rabbit
Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
"H.G. Wells, Arthur C. Clarke",The War of the Worlds
Sara Shepard,"Pretty Little Liars (Pretty Little Liars, #1)"
Don Freeman,Corduroy
Michael Pollan,The Omnivore's Dilemma: A Natural History of Four Meals
Kate Atkinson,Life After Life
Nicholas Sparks,The Rescue
Stephen King,Needful Things
Diana Gabaldon,"Voyager (Outlander, #3)"
"Kenneth Branagh, William Shakespeare","Hamlet: Screenplay, Introduction And Film Diary"
Stephen King,Cujo
Jeffrey Eugenides,The Virgin Suicides
Charlaine Harris,"Dead to the World (Sookie Stackhouse, #4)"
"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Tess of the D'Urbervilles
"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Madame Bovary
"Norton Juster, Jules Feiffer",The Phantom Tollbooth
Brandon Sanderson,"The Way of Kings (The Stormlight Archive, #1)"
Charlaine Harris,"Club Dead (Sookie Stackhouse, #3)"
Ned Vizzini,It's Kind of a Funny Story
Brandon Sanderson,"The Well of Ascension (Mistborn, #2)"
Jojo Moyes,"After You (Me Before You, #2)"
Vanessa Diffenbaugh,The Language of Flowers
"Frank Miller, Klaus Janson, Lynn Varley","Batman: The Dark Knight Returns (The Dark Knight Saga, #1)"
James Patterson,"The Angel Experiment (Maximum Ride, #1)"
Nick Hornby,High Fidelity
Nicholas Sparks,The Guardian
Margaret Atwood,"Oryx and Crake (MaddAddam, #1)"
John Gray,"Men Are from Mars, Women Are from Venus"
Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly
Michael Crichton,Timeline
Voltaire,Candide
Natalie Babbitt,Tuck Everlasting
"Stephen King, Marie Milpois",Christine
P.D. Eastman,Are You My Mother?
E.H. Gombrich,The Story of Art
Marissa Meyer,"Scarlet (The Lunar Chronicles, #2)"
Robert T. Kiyosaki,"Rich Dad, Poor Dad"
Becca Fitzpatrick,"Silence (Hush, Hush, #3)"
Lev Grossman,The Magicians (The Magicians #1)
"Tsugumi Ohba, Takeshi Obata","Death Note, Vol. 1: Boredom (Death Note, #1)"
Libba Bray,"A Great and Terrible Beauty (Gemma Doyle, #1)"
Jonathan Safran Foer,Everything Is Illuminated
Robert Ludlum,"The Bourne Supremacy (Jason Bourne, #2)"
Tammara Webber,"Easy (Contours of the Heart, #1)"
"Charles Dickens, Jeremy Tambling",David Copperfield
"Sherman Alexie, Ellen Forney",The Absolutely True Diary of a Part-Time Indian
"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",The Master and Margarita
Ursula K. Le Guin,"A Wizard of Earthsea (Earthsea Cycle, #1)"
"Kate DiCamillo, Chris Sheban",Because of Winn-Dixie
John Knowles,A Separate Peace
John Grisham,The Rainmaker
"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",Don Quixote
Robin Hobb,"Assassin's Apprentice (Farseer Trilogy, #1)"
Douglas Adams,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)"
Lauren Kate,"Torment (Fallen, #2)"
Beatrix Potter,The Tale of Peter Rabbit
"C.S. Lewis, Pauline Baynes","The Silver Chair (Chronicles of Narnia, #4)"
Brandon Sanderson,"The Hero of Ages (Mistborn, #3)"
Susanna Kaysen,"Girl, Interrupted"
Chelsea Handler,"Are You There, Vodka? It's Me, Chelsea"
"Richard Bach, Russell Munson",Jonathan Livingston Seagull
Cassandra Clare,"City of Heavenly Fire (The Mortal Instruments, #6)"
"Robert Munsch, Sheila McGraw",Love You Forever
Stephen King,Cell
Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",The Silmarillion (Middle-Earth Universe)
Stephen King,"The Drawing of the Three (The Dark Tower, #2)"
Kate Morton,The Forgotten Garden
"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",The Trial
Sarah Dessen,This Lullaby
Jodi Picoult,Plain Truth
Piper Kerman,Orange Is the New Black
"Arthur Conan Doyle, Anne Perry",The Hound of the Baskervilles
Daniel Kahneman,"Thinking, Fast and Slow"
Marion Zimmer Bradley,"The Mists of Avalon (Avalon, #1)"
Judy Blume,"Are You There God? It's Me, Margaret"
Nicholas Sparks,Nights in Rodanthe
Stephen King,"Mr. Mercedes (Bill Hodges Trilogy, #1)"
Charlaine Harris,"All Together Dead (Sookie Stackhouse, #7)"
Chris Bohjalian,Midwives
Chris Van Allsburg,The Polar Express
"Jon Scieszka, Lane Smith",The True Story of the 3 Little Pigs
Tom Clancy,"Patriot Games (Jack Ryan Universe, #2)"
"Paulo Coelho, Margaret Jull Costa",Veronika Decides to Die
"Sheryl Sandberg, Nell Scovell","Lean In: Women, Work, and the Will to Lead"
Charlaine Harris,"Dead as a Doornail (Sookie Stackhouse, #5)"
Tahereh Mafi,"Shatter Me (Shatter Me, #1)"
Robert A. Heinlein,Starship Troopers
Sophie Kinsella,I've Got Your Number
"Jostein Gaarder, Paulette Møller",Sophie's World
Mark Cotta Vaz,"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)"
Ray Bradbury,The Martian Chronicles
Jennifer Egan,A Visit from the Goon Squad
"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Heidi
Michael Crichton,Prey
C.S. Lewis,"The Last Battle (Chronicles of Narnia, #7)"
Ken Follett,"World Without End (The Kingsbridge Series, #2)"
"P.C. Cast, Kristin Cast","Chosen (House of Night, #3)"
Colleen Hoover,"Slammed (Slammed, #1)"
Alex Flinn,"Beastly (Beastly, #1; Kendra Chronicles, #1)"
"Geoffrey Chaucer, Nevill Coghill",The Canterbury Tales
Emily Giffin,Baby Proof
Christopher Paolini,"Inheritance (The Inheritance Cycle, #4)"
"Haruki Murakami, Jay Rubin, Philip Gabriel",1Q84
Harriet Beecher Stowe,Uncle Tom's Cabin
"Gaston Leroux, Alexander Teixeira de Mattos",The Phantom of the Opera
Charlaine Harris,"Definitely Dead (Sookie Stackhouse, #6)"
"José Saramago, Giovanni Pontiero",Blindness
Jonathan Franzen,Freedom
Ally Condie,"Crossed (Matched, #2)"
Ally Carter,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)"
Aravind Adiga,The White Tiger
Jonathan Franzen,The Corrections
Barack Obama,Dreams from My Father: A Story of Race and Inheritance
Michael Crichton,Congo
"Judith Viorst, Ray Cruz","Alexander and the Terrible, Horrible, No Good, Very Bad Day"
Jhumpa Lahiri,Interpreter of Maladies
Howard Zinn,A People's History of the United States
Truman Capote,Breakfast at Tiffany's
Justin Cronin,"The Passage (The Passage, #1)"
Neil Gaiman,Anansi Boys
Sarah Dessen,Along for the Ride
Celeste Ng,Everything I Never Told You
"Isabel Allende, Magda Bogin",The House of the Spirits
Stephen King,The Dead Zone
"Agatha Christie, Ροζίτα Σώκου","The Mysterious Affair at Styles (Hercule Poirot, #1)"
Agatha Christie,"Murder on the Orient Express (Hercule Poirot, #10)"
Chimamanda Ngozi Adichie,Americanah
James Patterson,Suzanne's Diary for Nicholas
Stephen King,Firestarter
Sylvia Day,"Entwined with You (Crossfire, #3)"
Christopher McDougall,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen"
Gabrielle Zevin,The Storied Life of A.J. Fikry
Ludwig Bemelmans,Madeline
Napoleon Hill,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century
"Laura Ingalls Wilder, Garth Williams","Little House in the Big Woods (Little House, #1)"
Susanna Clarke,Jonathan Strange & Mr Norrell
Nicholas Sparks,A Bend in the Road
Rick Riordan,"The House of Hades (The Heroes of Olympus, #4)"
Michael  Grant,"Gone (Gone, #1)"
Nicholas Sparks,"The Wedding (The Notebook, #2)"
David McCullough,1776
Jon Krakauer,Under the Banner of Heaven: A Story of Violent Faith
Jess Walter,Beautiful Ruins
Barack Obama,The Audacity of Hope: Thoughts on Reclaiming the American Dream
Stephen King,On Writing: A Memoir of the Craft
Kristin Hannah,"Firefly Lane (Firefly Lane, #1)"
Michael Crichton,Sphere
Emily Giffin,Love the One You're With
"Robert Galbraith, J.K. Rowling","The Silkworm (Cormoran Strike, #2)"
Anne Rice,"The Vampire Lestat (The Vampire Chronicles, #2)"
Ann Patchett,State of Wonder
Matthew Quick,The Silver Linings Playbook
"Jules Verne, Anthony Bonner",Twenty Thousand Leagues Under the Sea
Philippa Gregory,"The Constant Princess (The Plantagenet and Tudor Novels, #6)"
"Virginia Woolf, Maureen Howard",Mrs. Dalloway
"Jonas Jonasson, Rod Bradbury",The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared
Stephen King,Bag of Bones
John Irving,The Cider House Rules
"Richard Bachman, Stephen King",Thinner
"Jules Verne, Michael Glencross, Brian W. Aldiss",Around the World in Eighty Days
Sharon Creech,Walk Two Moons
"Paulo Coelho, Margaret Jull Costa",Eleven Minutes
J.D. Salinger,Nine Stories
Julie Powell,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living"
Neal Shusterman,"Unwind (Unwind, #1)"
Diana Gabaldon,"Drums of Autumn (Outlander, #4)"
Marie Lu,"Prodigy (Legend, #2)"
William Shakespeare,King Lear
Arthur Miller,Death of a Salesman
Nicholas Sparks,The Choice
Kate Egan,The Hunger Games: Official Illustrated Movie Companion
William Faulkner,The Sound and the Fury
Eckhart Tolle,A New Earth: Awakening to Your Life's Purpose
Tite Kubo,"Bleach, Volume 01"
Allie Brosh,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"
Robert Jordan,"The Shadow Rising (Wheel of Time, #4)"
Gregory David Roberts,Shantaram
Charlaine Harris,"From Dead to Worse (Sookie Stackhouse, #8)"
"Stephen King, Ned Dameron","The Waste Lands (The Dark Tower, #3)"
Jeffery Deaver,"The Bone Collector (Lincoln Rhyme, #1)"
"Bernhard Schlink, Carol Brown Janeway",The Reader
"Bill Martin Jr., Eric Carle","Brown Bear, Brown Bear, What Do You See?"
Dan Simmons,"Hyperion (Hyperion Cantos, #1)"
John Steinbeck,The Pearl
William Peter Blatty,The Exorcist
Stephenie Meyer,"The Short Second Life of Bree Tanner: An Eclipse Novella (Twilight, #3.5)"
David Guterson,Snow Falling on Cedars
Alex Haley,Roots: The Saga of an American Family
"Alan Moore, Brian Bolland, Tim Sale",Batman: The Killing Joke
Ralph Ellison,Invisible Man
Ishmael Beah,A Long Way Gone: Memoirs of a Boy Soldier
Robert C. O'Brien,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)"
Stephen King,Different Seasons
"Laura Ingalls Wilder, Garth Williams","The Little House Collection (Little House, #1-9)"
Melissa Bank,The Girls' Guide to Hunting and Fishing
Hugh Howey,"Wool Omnibus (Silo, #1)"
Christopher Moore,"Lamb: The Gospel According to Biff, Christ's Childhood Pal"
Eckhart Tolle,The Power of Now: A Guide to Spiritual Enlightenment
Jenny  Lawson,Let's Pretend This Never Happened: A Mostly True Memoir
Scott Lynch,"The Lies of Locke Lamora (Gentleman Bastard, #1)"
Garth Nix,"Sabriel (Abhorsen,  #1)"
Charlaine Harris,"Dead and Gone (Sookie Stackhouse, #9)"
Jodi Picoult,The Storyteller
Jennifer L. Armentrout,"Obsidian (Lux, #1)"
Douglas Adams,"Life, the Universe and Everything (Hitchhiker's Guide, #3)"
Sarah J. Maas,"Crown of Midnight (Throne of Glass, #2)"
Bryan Lee O'Malley,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life"
Jeannette Walls,Half Broke Horses
Terry Pratchett,"Mort (Death, #1; Discworld, #4)"
Julie Kagawa,"The Iron King (The Iron Fey, #1)"
Larry McMurtry,Lonesome Dove
Mary Roach,Stiff: The Curious Lives of Human Cadavers
Richelle Mead,"Bloodlines (Bloodlines, #1)"
Orson Scott Card,"Ender's Shadow (Ender's Shadow, #1)"
Sophie Kinsella,Twenties Girl
Thomas Keneally,Schindler's List
Toni Morrison,The Bluest Eye
Philippa Gregory,"The White Queen (The Plantagenet and Tudor Novels, #2)"
"Malcolm X, Alex Haley",The Autobiography of Malcolm X
"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",Preludes & Nocturnes (The Sandman #1)
Laura Hillenbrand,Seabiscuit: An American Legend
Dennis Lehane,Shutter Island
Arthur Conan Doyle,The Complete Sherlock Holmes
"William Shakespeare, Roma Gill",Julius Caesar
Erik Larson,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin"
"Plato, Desmond Lee",The Republic
William Shakespeare,The Taming of the Shrew
Marissa Meyer,"Cress (The Lunar Chronicles, #3)"
Patti Smith,Just Kids
Phaidon Press,The Art Book
Jane Green,Jemima J
"Victor Hugo, Walter J. Cobb",The Hunchback of Notre-Dame
Rohinton Mistry,A Fine Balance
"Bill Watterson, G.B. Trudeau",Calvin and Hobbes
Scott Westerfeld,"Specials (Uglies, #3)"
Kate Chopin,The Awakening
"P.C. Cast, Kristin Cast","Hunted (House of Night, #5)"
Mitch Albom,For One More Day
Tom Clancy,"Clear and Present Danger (Jack Ryan Universe, #6)"
Shel Silverstein,Falling Up
Justin Halpern,Sh*t My Dad Says
"Irvine Welsh, Eric Lindor Fall",Trainspotting
Isaac Asimov,Foundation and Empire (Foundation #2)
Miguel Ruiz,The Four Agreements: A Practical Guide to Personal Freedom
Jodi Picoult,House Rules
"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",The Complete Grimm's Fairy Tales
E.L. Konigsburg,From the Mixed-Up Files of Mrs. Basil E. Frankweiler
Stephen King,"Doctor Sleep (The Shining, #2)"
Nick Hornby,About a Boy
Samantha Young,"On Dublin Street (On Dublin Street, #1)"
"Francis Chan, Danae Yankoski, Chris Tomlin",Crazy Love: Overwhelmed by a Relentless God
Dr. Seuss,"One Fish, Two Fish, Red Fish, Blue Fish"
Dean Koontz,Watchers
Helen Keller,The Story of My Life
Jonathan Tropper,This is Where I Leave You
Seth Grahame-Smith,Abraham Lincoln: Vampire Hunter
"Natsuki Takaya, Alethea Nibley, Athena Nibley","Fruits Basket, Vol. 1"
William Shakespeare,The Tempest
"P.C. Cast, Kristin Cast","Burned (House of Night, #7)"
"Stephen King, Dave McKean","Wizard and Glass (The Dark Tower, #4)"
Dave Eggers,The Circle
Brian Selznick,The Invention of Hugo Cabret
"Aldous Huxley, Christopher Hitchens",Brave New World / Brave New World Revisited
Bisco Hatori,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)"
Mary Kubica,The Good Girl
Abbi Glines,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)"
Rainbow Rowell,Landline
"P.C. Cast, Kristin Cast","Tempted (House of Night, #6)"
Cormac McCarthy,No Country for Old Men
Hilary Mantel,"Wolf Hall (Thomas Cromwell, #1)"
Diana Wynne Jones,"Howl's Moving Castle (Howl's Moving Castle, #1)"
"Stephen King, William Olivier Desmond",Dreamcatcher
Henry David Thoreau, or Life in the Woods
Kazuo Ishiguro,The Remains of the Day
Nicholas Sparks,The Best of Me
Julian Barnes,The Sense of an Ending
Sue Grafton,"A is for Alibi (Kinsey Millhone, #1)"
"Sophocles, J.E. Thomas","Oedipus Rex  (The Theban Plays, #1)"
Lisa See,Shanghai Girls (Shanghai Girls #1)
"Kenneth Grahame, Gillian Avery",The Wind in the Willows
Jenny Han,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)"
"Marjane Satrapi, Mattias Ripa","Persepolis: The Story of a Childhood (Persepolis, #1)"
E.M. Forster,A Room with a View
Kody Keplinger,The DUFF: Designated Ugly Fat Friend
Sarah Dessen,Lock and Key
J.D. Robb,"Naked in Death (In Death, #1)"
John Grisham,The Chamber
Stephenie Meyer,"Midnight Sun (Twilight, #1.5)"
"Masashi Kishimoto, Katy Bridges","Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)"
Rachel Joyce,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)"
David Levithan,"Every Day (Every Day, #1)"
Orson Scott Card,"Xenocide (Ender's Saga, #3)"
"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",The Merchant of Venice
James Clavell,"Shōgun (Asian Saga, #1)"
J.R. Ward,"Lover Awakened (Black Dagger Brotherhood, #3)"
Sarah J. Maas,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)"
E.L. James,"Fifty Shades Trilogy (Fifty Shades, #1-3)"
"Bill Martin Jr., John Archambault, Lois Ehlert",Chicka Chicka Boom Boom
Raina Telgemeier,Smile
"George Orwell, Christopher Hitchens",Animal Farm / 1984
Jacquelyn Mitchard,"The Deep End of the Ocean (Cappadora Family, #1)"
Amy Tan,The Bonesetter's Daughter
Louise Rennison,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)"
Robin Sloan,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)"
V.C. Andrews,"Flowers in the Attic (Dollanganger, #1)"
"Paul Kalanithi, Abraham Verghese",When Breath Becomes Air
Jerry Spinelli,Maniac Magee
Chuck Palahniuk,Invisible Monsters
William Shakespeare,Twelfth Night
Lois Lowry,"Gathering Blue (The Giver, #2)"
Ellen Raskin,The Westing Game
Pierce Brown,"Red Rising (Red Rising, #1)"
Brent Weeks,"The Way of Shadows (Night Angel, #1)"
Barbara Kingsolver,"The Bean Trees (Greer Family, #1)"
Jamie McGuire,"Walking Disaster (Beautiful, #2)"
Brandon Sanderson,"Words of Radiance (The Stormlight Archive, #2)"
"Sam McBratney, Anita Jeram",Guess How Much I Love You
Diana Gabaldon,"The Fiery Cross (Outlander, #5)"
"Stephen King, John D. MacDonald",Night Shift
Peter Benchley,Jaws
Nicole Krauss,The History of Love
"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",Pippi Longstocking
"Muriel Barbery, Alison Anderson",The Elegance of the Hedgehog
"Doris Kearns Goodwin, Suzanne Toren",Team of Rivals: The Political Genius of Abraham Lincoln
Charlaine Harris,"Dead in the Family (Sookie Stackhouse, #10)"
"Albert Camus, Stuart Gilbert",The Plague
"Lemony Snicket, Brett Helquist","The Reptile Room (A Series of Unfortunate Events, #2)"
Susannah Cahalan,Brain on Fire: My Month of Madness
Melissa Marr,"Wicked Lovely (Wicked Lovely, #1)"
H.A. Rey,Curious George
"Michael Ende, Ralph Manheim, Roswitha Quadflieg",The Neverending Story
Sylvia Nasar,A Beautiful Mind
"Upton Sinclair, Earl Lee, Kathleen DeGrave",The Jungle
Kelley Armstrong,"The Summoning (Darkest Powers, #1)"
Oliver Sacks,The Man Who Mistook His Wife for a Hat and Other Clinical Tales
Ken Follett,Eye of the Needle
Margaret Atwood,The Blind Assassin
Ransom Riggs,"Hollow City (Miss Peregrine’s Peculiar Children, #2)"
